hotel_type,lead_time,arrival_month,weekend_nights,week_nights,adults,children,meal_plan,country,parking_requests,room_price,is_canceled
Resort Hotel,52,Sep,3,7,3,1.0,SC,USA,1,142.29,0
Resort Hotel,217,Dec,1,7,1,1.0,FB,UAE,1,136.3,0
City Hotel,83,Jan,1,7,3,2.0,BB,UK,0,113.74,0
Resort Hotel,76,Apr,1,3,3,0.0,FB,UK,2,167.66,1
Resort Hotel,152,May,1,8,1,,SC,USA,2,136.39,0
Resort Hotel,114,Jun,0,1,1,0.0,SC,,0,127.73,1
City Hotel,58,Jun,2,3,4,0.0,SC,UK,1,60.42,0
Resort Hotel,167,Mar,4,8,4,0.0,SC,UAE,2,161.94,0
Resort Hotel,257,Jul,2,2,1,0.0,FB,France,2,217.73,1
Resort Hotel,346,Aug,0,7,4,2.0,FB,UK,2,101.74,1
City Hotel,88,Jan,3,4,4,0.0,HB,France,2,101.47,1
Resort Hotel,189,Sep,4,6,2,3.0,HB,,1,100.97,0
City Hotel,48,Jun,4,9,4,1.0,FB,UK,0,,0
City Hotel,62,Jan,4,8,4,1.0,BB,UAE,0,90.77,0
Resort Hotel,209,Nov,0,4,4,0.0,SC,Germany,0,190.11,0
City Hotel,208,Sep,1,7,2,2.0,FB,,1,,0
City Hotel,69,Apr,1,3,4,1.0,HB,UAE,1,127.55,0
City Hotel,69,Sep,1,9,2,2.0,BB,UAE,2,152.08,0
City Hotel,52,Oct,2,2,4,,FB,France,1,150.59,0
Resort Hotel,107,Dec,1,6,3,0.0,SC,Germany,0,83.83,0
City Hotel,46,May,4,5,3,1.0,SC,USA,0,112.81,0
City Hotel,145,Jun,1,4,4,3.0,SC,Germany,1,129.74,0
Resort Hotel,85,Sep,4,2,2,0.0,SC,France,2,146.43,0
City Hotel,30,Jun,4,9,1,0.0,FB,UK,0,,0
Resort Hotel,177,Jan,2,5,3,3.0,BB,,1,120.06,1
Resort Hotel,33,Jan,1,1,1,0.0,HB,UAE,0,42.08,1
Resort Hotel,314,Feb,3,5,1,1.0,HB,UAE,2,59.39,0
Resort Hotel,362,Nov,1,7,3,3.0,FB,Germany,0,99.4,0
Resort Hotel,349,Nov,3,3,3,2.0,SC,UK,0,162.91,0
City Hotel,234,Dec,2,7,1,3.0,HB,India,1,121.77,1
City Hotel,167,Dec,0,6,2,1.0,FB,France,0,116.81,1
Resort Hotel,230,Feb,2,7,3,2.0,FB,France,0,93.67,0
City Hotel,249,Jun,2,9,4,0.0,FB,UAE,1,111.58,1
Resort Hotel,199,Oct,3,2,3,2.0,FB,,0,154.66,1
City Hotel,37,Oct,2,2,4,3.0,SC,UK,1,118.64,1
City Hotel,15,May,4,1,3,0.0,BB,USA,2,126.42,1
Resort Hotel,93,Jul,2,2,4,3.0,FB,UAE,2,27.74,0
Resort Hotel,266,Aug,2,3,4,3.0,BB,Germany,2,71.18,1
City Hotel,276,Oct,3,7,2,,SC,India,2,152.76,1
Resort Hotel,122,Oct,2,3,2,3.0,FB,UAE,2,123.49,1
City Hotel,237,Oct,2,8,1,1.0,SC,USA,1,110.52,0
City Hotel,137,Oct,1,3,3,2.0,BB,,1,84.76,0
City Hotel,198,Mar,4,2,3,,BB,India,0,89.63,1
City Hotel,276,Sep,4,4,3,2.0,FB,UAE,0,109.12,1
City Hotel,64,Jan,4,4,2,2.0,SC,France,2,100.41,0
City Hotel,341,Mar,2,5,3,1.0,BB,USA,2,134.95,1
Resort Hotel,120,Feb,4,5,3,3.0,BB,UAE,0,162.98,1
City Hotel,135,Jun,1,3,1,3.0,SC,France,2,,0
Resort Hotel,102,Dec,0,1,2,2.0,HB,Germany,1,71.03,0
City Hotel,64,Jan,0,8,1,3.0,SC,UK,1,131.18,1
City Hotel,304,Aug,1,2,3,0.0,FB,Germany,2,180.68,1
City Hotel,226,Dec,0,5,1,1.0,HB,UK,1,127.46,0
City Hotel,303,Oct,0,2,3,0.0,FB,USA,0,157.23,1
Resort Hotel,192,Dec,3,6,3,0.0,BB,UK,1,174.73,0
Resort Hotel,323,Oct,2,7,1,1.0,FB,India,2,129.27,1
Resort Hotel,173,Dec,3,7,1,3.0,SC,India,1,93.76,1
City Hotel,273,Mar,3,1,4,3.0,BB,Germany,2,133.69,1
City Hotel,194,Jun,1,9,3,0.0,FB,India,2,63.41,0
City Hotel,362,Feb,0,1,4,3.0,SC,Germany,1,129.09,1
Resort Hotel,126,May,1,8,2,3.0,SC,France,2,138.83,0
Resort Hotel,204,Feb,4,1,4,3.0,SC,France,1,,1
City Hotel,230,Jul,3,3,2,2.0,HB,Germany,0,39.02,0
City Hotel,332,May,0,4,4,0.0,HB,Germany,2,151.83,1
Resort Hotel,27,Aug,2,9,4,2.0,FB,Germany,2,51.27,0
Resort Hotel,90,Jun,3,8,4,3.0,SC,UAE,2,,1
City Hotel,47,Aug,0,5,1,1.0,FB,UAE,0,134.35,1
Resort Hotel,115,Dec,4,4,2,3.0,BB,UK,1,80.15,1
Resort Hotel,40,Sep,1,9,4,0.0,HB,UAE,1,118.35,0
Resort Hotel,69,Jul,0,1,4,0.0,HB,UAE,0,147.41,0
City Hotel,160,Jan,0,6,2,2.0,SC,India,2,145.36,1
City Hotel,100,Sep,3,8,4,0.0,SC,UK,0,152.39,1
Resort Hotel,301,Sep,0,7,3,3.0,SC,UK,1,134.33,1
City Hotel,358,Oct,4,8,1,2.0,BB,UK,2,164.02,0
City Hotel,244,Feb,2,3,1,3.0,SC,France,1,95.19,1
City Hotel,336,Feb,4,5,1,3.0,HB,,0,113.27,0
Resort Hotel,330,Jul,0,1,4,0.0,BB,UK,0,115.86,0
City Hotel,37,May,2,8,1,,HB,USA,2,28.05,0
Resort Hotel,143,May,4,2,3,2.0,BB,UK,0,120.15,1
City Hotel,331,Jan,2,3,3,3.0,HB,USA,0,162.55,1
City Hotel,265,Jun,3,2,2,0.0,FB,USA,2,131.54,0
City Hotel,82,Aug,0,1,4,0.0,FB,India,0,,1
Resort Hotel,225,Apr,2,2,1,2.0,FB,Germany,2,113.0,0
Resort Hotel,311,Mar,1,2,3,3.0,FB,UK,0,154.97,0
City Hotel,137,Oct,3,6,3,0.0,FB,UK,0,90.87,0
City Hotel,320,Oct,0,4,4,0.0,HB,UK,0,129.68,0
City Hotel,41,Jan,3,4,1,2.0,SC,Germany,0,209.37,0
Resort Hotel,271,Apr,1,1,2,3.0,FB,USA,1,153.9,1
Resort Hotel,36,Feb,0,2,2,2.0,HB,UK,2,115.84,1
City Hotel,65,May,3,3,4,1.0,HB,UK,0,68.13,0
Resort Hotel,33,Dec,3,9,3,1.0,FB,,2,175.42,1
City Hotel,65,Oct,2,5,3,2.0,FB,France,2,197.69,0
Resort Hotel,123,Jan,2,4,4,0.0,BB,Germany,1,199.15,1
City Hotel,331,Sep,3,3,4,2.0,BB,UAE,0,139.64,1
City Hotel,176,Sep,2,1,4,0.0,SC,Germany,0,5.21,0
City Hotel,347,May,0,1,1,1.0,FB,France,1,97.45,1
City Hotel,74,Jan,2,8,1,3.0,SC,India,0,180.41,0
City Hotel,156,Mar,0,9,2,2.0,BB,Germany,1,121.34,0
Resort Hotel,16,Jul,0,3,4,3.0,SC,Germany,0,130.84,1
Resort Hotel,363,May,0,9,4,2.0,HB,UAE,1,115.8,1
Resort Hotel,26,Nov,0,8,3,1.0,FB,,1,124.5,0
City Hotel,178,Sep,3,1,2,2.0,FB,USA,2,79.93,0
Resort Hotel,54,Apr,4,6,2,2.0,SC,USA,1,63.58,0
Resort Hotel,348,May,4,9,4,,BB,Germany,0,41.21,1
City Hotel,206,Mar,0,4,2,3.0,SC,USA,0,107.18,0
City Hotel,141,Aug,4,9,2,2.0,HB,UK,0,54.73,0
City Hotel,193,Mar,0,2,3,1.0,SC,,1,184.06,1
City Hotel,291,Jun,4,9,2,0.0,HB,Germany,0,118.79,1
Resort Hotel,207,Jul,1,1,4,1.0,HB,,1,95.55,1
City Hotel,29,Feb,2,4,3,1.0,BB,UK,1,141.48,1
City Hotel,159,Jul,4,5,4,2.0,SC,USA,1,95.46,0
City Hotel,268,Mar,0,2,3,,SC,Germany,0,192.27,1
City Hotel,69,Mar,2,6,1,2.0,SC,France,1,,1
Resort Hotel,238,May,2,8,4,2.0,HB,Germany,0,141.03,0
City Hotel,32,Apr,3,2,2,0.0,HB,USA,0,147.6,0
Resort Hotel,266,Oct,3,9,2,1.0,SC,India,2,75.23,1
City Hotel,133,Jul,4,2,3,1.0,HB,India,1,29.39,0
Resort Hotel,283,Mar,3,1,2,2.0,SC,India,0,169.67,1
City Hotel,167,Sep,0,6,2,2.0,SC,UAE,0,151.02,0
City Hotel,277,Jan,3,5,2,0.0,SC,France,1,170.91,0
City Hotel,16,Dec,1,3,1,3.0,HB,India,1,96.6,1
City Hotel,285,Feb,4,3,4,2.0,FB,UK,2,174.64,1
City Hotel,250,Nov,2,8,3,0.0,SC,UK,0,199.75,0
City Hotel,102,Sep,2,4,3,2.0,SC,India,2,98.36,1
City Hotel,125,Nov,1,1,4,,BB,India,1,122.88,0
Resort Hotel,71,Aug,0,4,1,2.0,HB,USA,1,159.63,0
Resort Hotel,210,Jul,2,6,4,3.0,FB,UK,0,162.51,0
City Hotel,83,Sep,1,2,3,,FB,USA,2,207.43,1
Resort Hotel,209,May,3,7,2,2.0,FB,UAE,2,151.1,1
Resort Hotel,14,Mar,4,1,2,,HB,,2,111.62,1
Resort Hotel,297,Feb,1,9,2,0.0,HB,India,2,145.51,0
City Hotel,74,Jun,1,2,1,1.0,SC,USA,1,53.88,1
City Hotel,169,Feb,3,9,1,1.0,SC,UAE,1,178.91,1
City Hotel,172,Aug,0,1,1,0.0,SC,India,0,113.57,1
City Hotel,329,May,3,4,2,2.0,FB,India,1,94.57,0
Resort Hotel,272,Nov,3,5,3,3.0,FB,Germany,1,85.98,1
City Hotel,126,Feb,2,8,1,2.0,SC,,0,,1
Resort Hotel,24,Jun,1,5,4,3.0,SC,France,1,62.13,1
City Hotel,277,Jun,1,1,2,2.0,FB,,0,109.73,0
City Hotel,187,Aug,3,1,2,0.0,SC,UK,1,108.0,1
City Hotel,327,Dec,3,2,2,1.0,FB,France,1,93.14,1
Resort Hotel,135,Jun,1,9,2,1.0,HB,Germany,2,112.11,1
City Hotel,163,Mar,1,1,3,1.0,FB,Germany,0,122.97,1
Resort Hotel,266,Aug,1,3,2,1.0,FB,UK,2,87.02,0
City Hotel,166,Feb,0,8,2,0.0,SC,Germany,2,137.18,1
Resort Hotel,288,Sep,3,1,3,1.0,HB,Germany,2,96.65,1
City Hotel,318,Jun,3,4,4,3.0,SC,India,2,93.55,1
Resort Hotel,98,Jan,2,8,4,0.0,BB,Germany,2,162.05,0
City Hotel,252,Apr,2,6,3,1.0,BB,USA,0,142.1,1
City Hotel,88,Jan,4,6,2,3.0,HB,Germany,2,186.9,0
City Hotel,120,Mar,1,1,1,0.0,SC,UAE,0,128.09,1
City Hotel,50,Oct,1,7,1,1.0,SC,UAE,2,130.2,1
City Hotel,41,Jun,4,1,2,1.0,FB,UAE,1,155.74,0
City Hotel,47,Mar,3,3,3,1.0,HB,UAE,1,85.97,1
Resort Hotel,258,May,1,1,2,0.0,HB,France,1,101.41,0
Resort Hotel,170,Aug,2,8,2,0.0,HB,UK,1,166.58,1
City Hotel,4,Aug,0,4,3,1.0,SC,France,0,132.28,1
Resort Hotel,1,Sep,3,5,3,2.0,FB,India,2,78.56,1
Resort Hotel,267,Dec,0,1,1,0.0,HB,Germany,0,177.1,0
City Hotel,112,Apr,0,1,1,3.0,HB,USA,0,79.84,1
Resort Hotel,11,May,4,1,2,3.0,FB,UAE,0,141.45,1
City Hotel,14,Apr,0,3,3,2.0,FB,India,2,120.41,1
City Hotel,91,Jul,1,6,4,3.0,BB,UAE,1,65.29,1
Resort Hotel,220,Dec,4,5,2,3.0,SC,UK,1,113.97,1
City Hotel,343,Sep,2,7,4,3.0,BB,Germany,0,141.55,0
Resort Hotel,249,Jun,0,1,2,0.0,FB,UAE,1,125.91,0
City Hotel,73,Nov,1,8,3,3.0,HB,UAE,1,109.35,1
Resort Hotel,315,Nov,1,5,1,2.0,BB,UK,2,111.49,1
City Hotel,146,Feb,2,6,2,1.0,FB,India,0,146.27,0
City Hotel,61,Jul,4,2,3,0.0,BB,USA,0,144.88,1
Resort Hotel,280,Mar,4,9,1,0.0,BB,UK,0,117.63,1
Resort Hotel,27,Aug,4,3,1,2.0,SC,Germany,0,152.19,1
City Hotel,291,Mar,2,5,3,1.0,FB,France,1,167.21,0
City Hotel,22,Sep,2,8,3,0.0,HB,France,1,,0
City Hotel,11,Jan,2,1,3,1.0,BB,UK,1,79.12,0
City Hotel,124,Jun,4,4,4,0.0,BB,USA,0,137.13,1
Resort Hotel,124,Nov,0,5,4,2.0,FB,,2,147.22,1
Resort Hotel,361,Oct,2,6,2,1.0,FB,India,1,133.58,1
Resort Hotel,186,Jul,2,3,2,2.0,HB,Germany,0,89.56,1
City Hotel,98,Mar,4,4,3,1.0,BB,UK,0,101.13,1
Resort Hotel,76,Jun,2,3,2,0.0,HB,Germany,0,168.6,1
Resort Hotel,132,Nov,0,4,2,0.0,FB,USA,1,,1
City Hotel,194,Oct,4,7,4,3.0,FB,France,0,159.42,1
Resort Hotel,321,Mar,2,9,3,3.0,HB,India,2,167.87,0
City Hotel,146,Sep,2,9,2,2.0,SC,France,1,86.9,0
Resort Hotel,315,Jun,3,5,3,3.0,FB,,1,,0
City Hotel,279,Nov,3,6,2,1.0,FB,,0,161.55,1
City Hotel,354,Aug,1,9,4,2.0,BB,UK,1,29.34,1
Resort Hotel,260,Apr,1,4,3,1.0,SC,USA,0,195.93,1
City Hotel,244,Aug,2,7,2,0.0,BB,France,0,125.22,0
City Hotel,234,May,3,3,1,3.0,FB,USA,0,107.19,1
City Hotel,211,Aug,1,9,4,0.0,BB,France,1,104.32,1
Resort Hotel,296,Feb,4,9,1,3.0,SC,Germany,0,97.87,0
Resort Hotel,362,Mar,3,5,3,0.0,HB,France,2,138.54,1
City Hotel,168,Oct,0,4,4,,HB,India,0,115.64,1
City Hotel,179,Apr,0,9,4,1.0,HB,Germany,0,,1
City Hotel,233,Jan,0,5,2,0.0,FB,UK,1,165.07,1
City Hotel,151,May,0,1,3,3.0,SC,UK,0,107.49,1
City Hotel,141,Mar,3,2,1,0.0,BB,UK,1,139.55,1
Resort Hotel,257,Jul,4,7,1,1.0,SC,USA,1,131.67,1
City Hotel,332,Feb,0,3,1,3.0,SC,UAE,1,107.73,1
City Hotel,138,Nov,4,1,4,0.0,BB,UAE,2,82.17,0
City Hotel,360,Jan,1,9,1,1.0,SC,UK,2,88.22,1
City Hotel,224,Feb,1,4,4,0.0,SC,France,2,165.44,0
Resort Hotel,22,Mar,2,3,1,1.0,HB,,2,109.36,1
Resort Hotel,89,Oct,3,5,2,3.0,BB,India,1,131.35,1
Resort Hotel,267,May,0,1,3,,BB,UAE,2,176.99,1
City Hotel,75,Jun,4,1,3,1.0,HB,UK,1,95.62,1
City Hotel,90,Aug,4,1,2,1.0,SC,India,2,137.05,0
City Hotel,272,Apr,3,7,2,,SC,USA,2,136.73,1
City Hotel,157,Apr,1,7,4,3.0,BB,UAE,2,104.88,1
Resort Hotel,158,Feb,3,9,3,3.0,HB,UAE,0,122.17,0
City Hotel,313,Mar,4,5,1,0.0,HB,USA,0,212.49,1
Resort Hotel,65,Mar,3,2,2,,FB,UAE,0,106.29,1
City Hotel,6,Feb,1,9,2,3.0,HB,India,1,104.63,0
Resort Hotel,77,Jan,1,4,4,0.0,SC,France,2,90.61,1
Resort Hotel,91,Feb,0,5,4,2.0,BB,India,0,116.65,1
Resort Hotel,291,May,0,1,3,0.0,BB,Germany,1,131.69,1
Resort Hotel,128,Aug,0,2,1,2.0,HB,UK,0,177.37,0
Resort Hotel,117,May,1,8,2,0.0,SC,France,1,127.75,1
City Hotel,225,Dec,4,2,2,1.0,SC,India,1,146.48,1
City Hotel,315,Mar,0,8,4,3.0,FB,,0,,0
Resort Hotel,14,Jul,3,1,1,1.0,HB,India,1,,1
Resort Hotel,174,Apr,4,9,2,1.0,SC,UK,0,157.77,0
City Hotel,150,Jul,2,9,3,0.0,HB,USA,2,93.86,1
Resort Hotel,188,Aug,0,9,4,3.0,SC,India,2,25.18,1
City Hotel,85,Mar,2,6,4,2.0,FB,Germany,1,190.83,1
Resort Hotel,120,Oct,0,2,3,1.0,FB,UAE,0,173.41,1
City Hotel,325,Jan,4,1,4,3.0,HB,UAE,2,,1
Resort Hotel,143,Aug,2,6,4,1.0,SC,India,1,89.06,0
City Hotel,306,Jun,1,4,1,2.0,FB,UAE,2,75.25,0
City Hotel,240,Mar,0,8,3,2.0,BB,UK,0,113.45,0
Resort Hotel,212,Sep,3,8,2,2.0,HB,Germany,1,147.4,1
City Hotel,184,Jan,2,2,4,1.0,BB,USA,1,119.71,1
Resort Hotel,191,Aug,3,2,3,3.0,SC,UK,1,122.26,1
City Hotel,344,Sep,2,4,1,2.0,FB,India,1,193.3,1
City Hotel,26,Oct,4,9,3,0.0,BB,UAE,1,59.26,0
City Hotel,361,Jan,3,6,2,3.0,SC,France,2,139.03,0
Resort Hotel,125,Sep,0,7,2,0.0,FB,,1,150.08,0
Resort Hotel,242,May,1,3,4,0.0,HB,USA,2,113.68,0
Resort Hotel,342,May,4,7,3,3.0,FB,UAE,2,177.18,1
City Hotel,283,Nov,2,3,4,3.0,HB,India,1,160.42,0
Resort Hotel,275,May,0,2,1,0.0,FB,UAE,1,139.16,1
City Hotel,37,Nov,2,2,1,0.0,FB,France,0,101.12,0
Resort Hotel,292,Jan,3,9,4,0.0,BB,USA,0,79.06,1
City Hotel,221,May,3,7,3,3.0,BB,USA,0,55.56,0
Resort Hotel,319,Dec,1,5,1,0.0,HB,India,2,176.29,0
Resort Hotel,295,Oct,3,3,2,1.0,HB,UK,0,206.44,0
City Hotel,247,Oct,4,8,4,0.0,BB,USA,2,145.57,1
Resort Hotel,128,Jun,2,2,1,2.0,HB,Germany,2,127.97,0
Resort Hotel,107,May,2,3,3,1.0,HB,USA,2,,0
Resort Hotel,336,Jun,4,5,2,3.0,SC,UAE,1,131.38,1
City Hotel,223,Dec,3,1,4,3.0,BB,Germany,2,161.01,0
City Hotel,335,Sep,3,6,2,1.0,FB,UK,0,54.35,1
Resort Hotel,161,Jul,4,2,4,0.0,HB,France,0,,1
Resort Hotel,288,Nov,1,7,4,0.0,HB,UAE,0,101.37,1
City Hotel,256,May,0,7,3,3.0,FB,Germany,0,,1
City Hotel,242,Oct,0,1,1,1.0,HB,Germany,2,48.18,0
City Hotel,120,Sep,3,4,1,0.0,SC,France,0,80.5,0
City Hotel,6,May,0,1,4,2.0,BB,USA,2,65.76,1
City Hotel,361,May,0,7,2,1.0,BB,Germany,1,140.08,0
City Hotel,122,Nov,0,5,2,3.0,SC,Germany,0,110.37,0
Resort Hotel,145,Jun,3,8,3,0.0,SC,,2,110.73,0
City Hotel,258,Aug,2,1,1,0.0,SC,USA,2,151.62,1
City Hotel,80,Jan,3,4,2,0.0,SC,India,2,103.51,0
Resort Hotel,311,Sep,3,9,1,3.0,HB,UAE,0,155.61,1
Resort Hotel,111,Aug,1,1,3,3.0,HB,Germany,0,110.65,1
City Hotel,251,Jul,1,3,4,1.0,BB,UK,0,,1
Resort Hotel,268,May,3,2,2,2.0,FB,France,2,159.17,0
City Hotel,51,Jan,4,9,3,2.0,BB,Germany,2,,1
Resort Hotel,48,Jul,4,5,1,3.0,FB,,1,,0
Resort Hotel,167,Sep,1,6,1,1.0,FB,UK,2,88.58,1
Resort Hotel,209,Mar,1,8,4,,FB,India,2,,0
Resort Hotel,105,Dec,2,9,4,3.0,FB,UK,1,25.69,1
City Hotel,70,Aug,1,8,2,3.0,FB,UAE,0,117.66,0
Resort Hotel,119,Mar,0,8,2,0.0,SC,,2,,1
Resort Hotel,361,Dec,3,1,3,2.0,FB,Germany,1,172.63,1
Resort Hotel,346,Mar,3,1,2,0.0,HB,UK,2,113.85,1
City Hotel,1,Jul,3,8,4,3.0,SC,India,1,97.43,1
Resort Hotel,302,Jun,2,1,1,1.0,SC,USA,0,133.96,0
City Hotel,63,May,2,5,4,2.0,BB,India,2,146.02,1
City Hotel,59,Nov,0,4,2,1.0,SC,UAE,1,68.74,1
Resort Hotel,303,Jul,3,5,1,3.0,BB,UAE,0,99.81,0
Resort Hotel,272,Sep,0,8,4,2.0,HB,India,1,148.21,1
City Hotel,46,Jan,1,8,2,3.0,HB,France,1,124.29,1
City Hotel,80,Oct,3,4,4,1.0,SC,France,2,157.52,1
Resort Hotel,50,Jan,0,8,4,3.0,FB,UAE,0,127.72,1
City Hotel,305,May,2,5,4,0.0,SC,India,2,93.08,0
Resort Hotel,363,Aug,2,4,4,2.0,SC,UK,0,134.57,1
Resort Hotel,276,Jul,2,7,4,3.0,BB,UK,2,152.78,1
Resort Hotel,229,Jul,0,3,4,2.0,FB,India,0,182.63,1
City Hotel,333,Mar,0,5,4,2.0,HB,UK,1,137.49,1
Resort Hotel,72,Sep,0,5,4,1.0,FB,USA,0,114.62,0
Resort Hotel,169,May,4,5,3,0.0,SC,UK,1,95.79,1
Resort Hotel,267,Nov,3,2,4,0.0,FB,UK,1,110.09,1
Resort Hotel,55,Dec,4,7,4,3.0,BB,India,2,104.19,1
Resort Hotel,230,Oct,4,7,3,2.0,BB,UK,0,57.32,0
Resort Hotel,47,Mar,1,8,1,0.0,BB,UK,2,93.86,0
Resort Hotel,78,Jun,1,7,3,3.0,FB,France,0,154.81,1
Resort Hotel,360,Aug,2,1,2,3.0,FB,France,0,54.53,1
City Hotel,306,Aug,4,9,1,1.0,HB,UK,2,,0
City Hotel,353,Apr,1,4,2,2.0,HB,UK,0,122.18,0
City Hotel,361,Apr,4,1,1,1.0,SC,UAE,2,50.77,1
Resort Hotel,279,Sep,3,2,4,3.0,HB,India,1,65.4,1
City Hotel,61,Oct,4,8,1,,HB,USA,1,55.79,0
Resort Hotel,7,Feb,2,8,4,0.0,HB,France,0,113.05,1
City Hotel,271,Sep,0,9,1,2.0,HB,Germany,2,113.41,1
City Hotel,335,Aug,2,9,4,1.0,SC,UK,0,142.82,1
Resort Hotel,9,Mar,4,8,3,2.0,HB,Germany,1,58.38,0
City Hotel,213,Feb,4,4,3,2.0,SC,India,0,149.68,1
City Hotel,165,Feb,0,7,3,1.0,BB,Germany,1,91.01,0
Resort Hotel,231,Jan,2,9,1,3.0,HB,USA,1,103.55,1
City Hotel,315,Oct,2,6,4,3.0,FB,,1,135.29,0
City Hotel,156,Sep,4,6,4,3.0,SC,UAE,2,115.62,0
Resort Hotel,364,Jan,3,1,4,,FB,India,2,89.64,1
City Hotel,15,Feb,1,9,3,3.0,FB,France,1,141.18,1
Resort Hotel,118,Jul,4,2,3,0.0,BB,UK,1,96.29,0
City Hotel,88,May,4,3,1,2.0,SC,Germany,1,118.26,1
City Hotel,4,Nov,1,5,3,0.0,FB,India,1,79.21,0
City Hotel,239,Jan,0,5,1,2.0,SC,USA,2,157.32,1
Resort Hotel,114,Apr,4,5,3,2.0,FB,,2,,1
Resort Hotel,227,Dec,3,4,1,1.0,SC,USA,2,61.05,0
City Hotel,314,Jun,0,5,1,2.0,BB,India,2,87.77,1
City Hotel,143,Aug,0,3,1,1.0,FB,India,0,181.0,1
Resort Hotel,244,Feb,0,1,3,,BB,India,0,,0
City Hotel,2,Oct,4,7,1,3.0,FB,Germany,2,117.06,0
Resort Hotel,360,Dec,0,2,1,1.0,SC,USA,0,76.25,0
Resort Hotel,124,Mar,2,8,2,3.0,FB,India,1,132.32,1
Resort Hotel,325,Jul,4,1,2,3.0,SC,UK,0,104.3,1
City Hotel,201,Jan,4,6,1,0.0,HB,India,2,93.81,0
Resort Hotel,71,Jul,1,1,1,3.0,FB,India,2,164.1,0
Resort Hotel,68,Jan,0,8,3,1.0,HB,Germany,1,158.43,1
City Hotel,147,Aug,4,2,4,3.0,HB,UAE,2,53.41,1
Resort Hotel,264,Jun,3,8,3,,FB,France,2,156.99,1
City Hotel,287,Oct,3,4,1,,FB,USA,2,99.31,0
City Hotel,270,Jul,4,3,3,,BB,UAE,2,124.94,1
City Hotel,29,Feb,4,2,3,0.0,HB,India,2,40.36,0
City Hotel,137,Jun,3,4,1,1.0,SC,Germany,2,145.27,1
City Hotel,101,May,3,2,3,2.0,FB,France,0,136.23,1
City Hotel,326,Mar,2,3,4,3.0,HB,France,2,91.24,0
Resort Hotel,234,Sep,3,2,2,0.0,HB,,1,123.83,1
City Hotel,348,May,2,2,4,2.0,SC,India,0,39.31,0
City Hotel,301,Aug,4,9,3,1.0,FB,UAE,2,82.99,1
City Hotel,330,Apr,0,1,3,3.0,FB,India,0,61.07,1
Resort Hotel,54,Jun,0,3,4,2.0,HB,Germany,2,123.11,0
Resort Hotel,301,Apr,1,1,1,3.0,FB,USA,2,101.27,0
City Hotel,259,Apr,2,3,3,0.0,HB,Germany,0,,0
City Hotel,76,Sep,3,1,4,2.0,SC,France,0,74.79,0
Resort Hotel,292,May,2,9,2,2.0,BB,UAE,1,42.23,0
City Hotel,139,Jan,1,5,1,3.0,BB,UK,0,171.23,1
City Hotel,238,Nov,1,4,2,3.0,SC,USA,2,59.4,0
Resort Hotel,117,Jul,2,8,3,3.0,FB,Germany,2,35.69,0
Resort Hotel,41,Mar,3,1,4,0.0,SC,USA,1,158.4,0
Resort Hotel,328,Nov,4,9,1,0.0,HB,,0,119.58,0
Resort Hotel,205,Mar,4,2,1,3.0,BB,France,0,165.2,0
Resort Hotel,107,Dec,4,8,1,2.0,HB,Germany,1,169.13,0
City Hotel,340,Jun,1,7,2,1.0,FB,USA,0,42.54,1
City Hotel,104,Mar,2,2,1,2.0,BB,USA,0,115.09,0
Resort Hotel,138,Jan,1,6,4,2.0,SC,India,0,130.66,1
Resort Hotel,41,Jun,3,5,3,0.0,BB,France,0,129.74,0
City Hotel,181,Jul,0,7,4,0.0,SC,UAE,2,111.42,0
City Hotel,4,May,1,2,1,0.0,SC,Germany,0,196.85,0
Resort Hotel,10,Jan,3,9,1,0.0,HB,France,1,128.67,1
City Hotel,49,Feb,3,3,4,2.0,BB,UAE,1,133.32,0
City Hotel,74,Feb,3,1,3,0.0,SC,India,1,93.56,1
City Hotel,48,Oct,0,8,4,3.0,HB,UAE,0,47.21,1
City Hotel,124,Aug,4,7,1,0.0,HB,UK,2,151.31,0
Resort Hotel,151,Aug,2,7,1,3.0,FB,UAE,1,114.68,1
City Hotel,100,Aug,1,4,2,3.0,FB,France,1,167.13,0
City Hotel,275,Feb,0,3,3,3.0,SC,India,2,70.35,1
City Hotel,200,Dec,3,9,3,1.0,BB,UK,1,105.69,0
Resort Hotel,218,Dec,0,3,1,1.0,FB,France,0,,1
City Hotel,126,May,1,7,2,1.0,SC,UK,1,82.69,1
Resort Hotel,179,May,2,7,2,1.0,BB,UAE,0,,1
Resort Hotel,228,Apr,1,7,2,2.0,FB,Germany,2,16.65,0
City Hotel,267,Aug,0,1,2,1.0,FB,USA,2,120.91,0
Resort Hotel,259,Aug,3,2,4,1.0,SC,UAE,1,129.89,1
Resort Hotel,252,Dec,3,2,2,1.0,SC,UK,0,207.0,0
Resort Hotel,210,Sep,4,3,3,3.0,BB,USA,2,99.54,0
Resort Hotel,145,Apr,4,4,4,2.0,FB,Germany,1,152.47,0
City Hotel,73,Jan,2,1,1,3.0,SC,UAE,1,104.38,0
City Hotel,30,Nov,2,5,3,,HB,UAE,1,146.06,0
Resort Hotel,80,Sep,4,1,4,3.0,FB,UK,2,172.65,1
City Hotel,8,Jan,4,7,3,2.0,SC,USA,0,27.93,0
Resort Hotel,169,Apr,1,7,4,2.0,HB,UK,0,125.4,0
Resort Hotel,5,Nov,1,2,3,1.0,BB,India,0,176.33,1
